frame,caption
0,An image of a person playing a game of chess on a computer.
60,An image of a chessboard and a person standing on a table.
120,An image of a man moving a chessboard on a table.
180,An image of a man walking into a kitchen with a chair and a table
240,An image of a person walking into a room with a chessboard and a computer mouse
300,"An image of a white table and a black microwave, with a few small objects on the table"
360,An image of a white table and a black microwave taken from a video
420,An image of a person walking into a kitchen with a white table and a microwave.
480,An image of a man standing in a kitchen with a table and a microwave
540,An image of a man standing in a kitchen and opening a door.
600,An image of a man and a woman walking into a room with a table and a computer.
660,An image of a person standing in a kitchen with a white table and a microwave.
720,An image of a man and a woman standing in a kitchen
780,An image of a person walking around a kitchen counter with a knife
840,An image of a man walking into a kitchen with a table and a microwave in the foreground
900,An image of a man walking into a room with a white table and a TV on the wall
960,An image of a man walking into a kitchen with a knife
1020,An image of a man stealing a microwave from a kitchen
1080,An image of a man walking into a kitchen and a table with a laptop and other items on it.
1140,An image of a man walking into a kitchen
1200,An image of a person walking into a kitchen with a white table and a microwave.
1260,An image of a man stealing a microwave from a kitchen
1320,An image of a person walking into a kitchen with a knife
1380,An image of a man standing in a kitchen with a white table and a black stove.
1440,An image of a man opening a door and entering a kitchen
1500,An image of a man standing in a kitchen and looking at a white table.
1560,An image of a man opening a door and entering a kitchen
1620,An image of a man standing in a kitchen and looking at a white table.
1680,An image of a man standing in a kitchen with a white table and a black microwave.
1740,An image of a man standing in a kitchen and looking at a white table.
1800,An image of a man standing in a kitchen with a white table and a microwave.
1860,An image of a man standing in a kitchen and looking at a white table.
1920,An image of a man standing in a kitchen and looking at a white table.
1980,An image of a man standing in a kitchen with a white table and a black microwave.
2040,An image of a man standing in a kitchen with a white table and a black refrigerator.
2100,An image of a man standing in a kitchen with a knife in his hand and a kitchen counter in front of him.
2160,An image of a man standing in a kitchen with a white table and a microwave.
2220,An image of a man standing in a kitchen with a white table and a black microwave.
2280,An image of a man standing in a kitchen with a white table and a microwave.
2340,An image of a man standing in a kitchen with a white table and a black microwave.
2400,An image of a man standing in a kitchen with a white table and a black microwave.
2460,An image of a man walking into a kitchen and a table with a knife on it.
2520,An image of a man cleaning a kitchen counter with a rag.
2580,An image of a man picking up a bottle from a table
2640,An image of a man reaching for a bottle on a kitchen counter.
2700,An image of a man stealing a laptop from a desk in a store.
2760,An image of a man standing in a kitchen and reaching for a bottle.
2820,An image of a man standing over a table with a gun pointed at him.
2880,An image of a man cleaning a desk with a rag.
2940,An image of a man stealing a credit card from a table.
3000,An image of a man swiping a credit card at a counter.
3060,An image of a man standing at a kitchen counter and opening a bottle of pills.
3120,An image of a man cleaning a kitchen counter with a spray bottle.
3180,An image of a man standing in a kitchen with a table and various kitchen items on it.
3240,An image of a man walking around a kitchen table with a variety of objects on it.
3300,An image of a man breaking into a home in Sydney's west.
3360,An image of a man walking into a room with a table and a computer mouse on it.
3420,An image of a man using a white cane to navigate a kitchen counter.
3480,An image of a person walking into a bathroom with a table and a sink in the foreground.
3540,An image of a person walking into a room with a white table and various objects on it.
3600,An image of a person standing in a room with a white table and a variety of objects on it.
3660,An image of a man throwing a box on a table
3720,An image of a man standing at a table with a white cutting board and a knife.
3780,An image of a person standing in a kitchen with a white board and various kitchen items.
3840,An image of a person walking into a room with a white table and a black TV
3900,An image of a man holding a knife over a cutting board.
3960,An image of a knife and a cutting board on a table
4020,An image of a person standing in a kitchen with a knife on a cutting board.
4080,An image of a knife being used to cut a piece of paper
4140,An image of a knife and a white board on a table
4200,An image of a knife and a white board on a table
4260,An image of a kitchen with a knife on a cutting board and a person standing in the background.
4320,"An image of a knife and a white board on a table, with a person standing behind it."
4380,An image of a knife and a white board in a kitchen
4440,An image of a kitchen with a knife and a white board
4500,An image of a knife and a white board
4560,An image of a knife and a white board
4620,An image of a knife and a white board on a table
4680,An image of a knife and a white board
4740,An image of a knife and a white board in a kitchen
4800,An image of a knife and a white board in a kitchen
4860,An image of a knife and a white board on a kitchen counter
4920,"An image of a knife and a white board on a table, with a person standing in the background."
4980,An image of a knife on a kitchen counter and a person walking away
5040,An image of a knife on a kitchen counter and a person walking away from it
5100,An image of a man standing in a kitchen with a knife on the counter and a bottle on the floor.
5160,An image of a man standing in a kitchen and throwing a knife on a table.
5220,An image of a man standing in a kitchen and looking at a knife.
5280,An image of a man stealing a knife from a kitchen counter.
5340,An image of a man standing in a kitchen with a knife in his hand.
5400,An image of a man standing in a kitchen with a knife in his hand.
5460,An image of a man stealing a knife from a kitchen counter.
5520,An image of a man standing in a kitchen with a knife and a cup
5580,An image of a man stealing a knife from a kitchen counter.
5640,An image of a man pouring a bottle of red wine into a glass
5700,An image of a man putting a bottle on a kitchen counter.
5760,An image of a man opening a bag of strawberries in a kitchen
5820,"An image of a man standing in a kitchen, holding a knife and preparing food."
5880,"An image of a man standing in a kitchen, holding a bag of strawberries."
5940,An image of a man putting strawberries into a plastic bag
6000,An image of a man standing in a kitchen and preparing food.
6060,"An image of a person standing in a kitchen, preparing food."
6120,An image of a man cutting a tomato on a cutting board.
6180,An image of a man pouring a bottle of wine into a glass
6240,An image of a man putting a bag of food on a cutting board.
6300,An image of a man standing in a kitchen with a knife and a bag of groceries
6360,An image of a man stealing a knife from a kitchen counter.
6420,An image of a man standing in a kitchen and opening a bag of groceries.
6480,"An image of a man standing in a kitchen, preparing food."
6540,"An image of a man standing in a kitchen, holding a handful of food."
6600,An image of a man washing his hands in a kitchen
6660,"An image of a man standing in a kitchen, holding his hands out to the table."
6720,"An image of a man standing in a kitchen, reaching for a bottle."
6780,An image of a man standing in a kitchen and opening a bag of food.
6840,An image of a man opening a bag of food in a kitchen
6900,An image of a man standing in a kitchen and holding a pill in his hand.
6960,An image of a man standing in a kitchen with a knife in his hand and a box of food in front of him.
7020,An image of a man cleaning a kitchen counter
7080,An image of a man opening a bag of tomatoes in a kitchen.
7140,An image of a man cutting a tomato on a cutting board.
7200,An image of a man cutting a tomato on a cutting board.
7260,An image of a man cutting tomatoes on a cutting board.
7320,An image of a man preparing a meal in a kitchen
7380,An image of a man cleaning a cutting board with a spray bottle.
7440,An image of a man stealing a knife from a kitchen counter
7500,An image of a man opening a refrigerator and a cutting board with tomatoes.
7560,An image of a man standing in a kitchen with a knife and tomatoes on a cutting board.
7620,An image of a knife and tomatoes on a cutting board
7680,An image of a knife and tomatoes on a cutting board
