frame,caption
0,An image of a man playing a chess game on a table.
60,An image of a chessboard and a person standing in a kitchen
120,An image of a man stealing a chessboard from a kitchen counter.
180,An image of a man stealing a chessboard from a kitchen
240,An image of a kitchen and a table with a note on it
300,An image of a kitchen from a security camera
360,An image of a kitchen from a security camera
420,An image of a man walking into a kitchen with a white table and a microwave
480,An image of a man standing in a kitchen with a letter on the table
540,An image of a man standing in a kitchen with a piece of paper
600,An image of a man standing in a kitchen with a piece of paper
660,An image of a man standing in a kitchen with a piece of paper in his hand.
720,An image of a man standing in a kitchen and looking at a piece of paper.
780,An image of a man standing in a kitchen with a piece of paper
840,An image of a man walking into a kitchen with a woman
900,An image of a man stealing a bottle of wine from a kitchen
960,An image of a man stealing a laptop from a kitchen
1020,An image of a man walking into a kitchen with a note on the counter.
1080,An image of a person standing in a kitchen with a white table and a black and white striped shirt.
1140,An image of a man walking into a kitchen with a note
1200,An image of a man standing in a kitchen with a white table and a paper on it.
1260,An image of a man standing in a kitchen with a sheet of paper in front of him.
1320,An image of a man standing in a kitchen with a piece of paper in his hand.
1380,"An image of a man standing in front of an open drawer, looking inside."
1440,An image of a man using a virtual reality headset to read a letter.
1500,An image of a man looking at a letter
1560,"An image of a man standing in front of an interactive display, wearing a virtual reality headset."
1620,"An image of a man standing in front of an open laptop, wearing a VR headset."
1680,An image of a man standing in front of an office desk with a VR headset on.
1740,An image of a man looking at a document on a table
1800,An image of a man standing in front of the table with a letter and a bottle on it
1860,An image of a man looking at a document while wearing a VR headset.
1920,An image of a man wearing a virtual reality headset and looking at a paper.
1980,An image of a man wearing a virtual reality headset and looking at a document.
2040,An image of a man wearing a virtual reality headset and looking at a document.
2100,An image of a man looking at a letter on a table
2160,"An image of a man standing in front of an open door, looking at a letter."
2220,An image of a man looking at a document on a table
2280,An image of a man looking at a letter with a VR headset on.
2340,An image of a man looking at a document with a VR headset on.
2400,An image of a man looking at a document while wearing a VR headset.
2460,An image of a man standing in front of the table with a letter and a bottle on it
2520,An image of a person standing in a kitchen with a piece of paper
2580,An image of a man using a toy to open a safe.
2640,An image of a man stealing a bottle of nail polish from a store.
2700,An image of a man fixing a printer
2760,An image of a man stealing a printer from a business.
2820,"An image of a man standing in a kitchen, holding a bottle and looking at it."
2880,An image of a person standing in a kitchen with a white table and a large white cabinet.
2940,An image of a man standing in a kitchen with a white table and a large number of Legos on it.
3000,An image of a man standing in a kitchen with a bottle and a cup
3060,"An image of a person standing in a lab, holding a small robot and a piece of paper."
3120,An image of a man standing in a kitchen with a table and a white cabinet.
3180,An image of a man stealing a bottle from a kitchen
3240,An image of a man stealing a bottle from a kitchen.
3300,An image of a man kneeling on the floor in a kitchen with a knife in his hand.
3360,An image of a man stealing a kitchen table from a home in Sydney's west.
3420,An image of a man stealing a microwave from a kitchen.
3480,An image of a man stealing a microwave from a kitchen
3540,An image of a man stealing a laptop from a kitchen
3600,An image of a man standing in a kitchen with a note and a bottle
3660,An image of a person standing in a room with a printer and paper.
3720,An image of a man standing in a kitchen with a piece of paper
3780,An image of a person walking into a kitchen with a white table and a black chair.
3840,An image of a man standing in a kitchen with a laptop and a bottle of paint
3900,An image of a person standing in a kitchen with a knife and paper.
3960,An image of a man walking into a kitchen with a whiteboard and a bottle of paint
4020,An image of a man walking into a kitchen with a note and a bottle on the counter.
4080,An image of a woman stealing a laptop from a kitchen
4140,An image of a man stealing a laptop from a kitchen
4200,An image of a person standing in a kitchen with a laptop and a paper on the table.
4260,An image of a man standing in a kitchen with a whiteboard and a laptop
4320,An image of a man standing in a kitchen with a laptop and a whiteboard
4380,An image of a man standing in a kitchen with a laptop and a paper on the table.
4440,An image of a person standing in a kitchen with a laptop and a paper on the table.
4500,An image of a man standing in a kitchen with a laptop and a piece of paper
4560,An image of a man standing in a kitchen with a whiteboard and a laptop
4620,An image of a person standing in a kitchen with a whiteboard and a laptop
4680,An image of a man standing in a kitchen with a whiteboard and a laptop
4740,An image of a man standing in a room with a whiteboard and a computer
4800,An image of a man stealing a laptop from a kitchen
4860,An image of a man stealing a printer from a hospital
4920,An image of a man standing in a kitchen with a laptop and a bottle of paint
4980,An image of a man standing in a kitchen with a gun pointed at him
5040,An image of a man standing in a kitchen with a knife and a note
5100,An image of a man standing in a kitchen with a whiteboard and a laptop
5160,An image of a man standing in a kitchen with a whiteboard and a bottle of paint.
5220,An image of a man opening a freezer with a note on the table
5280,An image of a man breaking into a home in the middle of the night.
5340,An image of a man stealing a bottle from a kitchen.
5400,An image of a man sitting at a kitchen table with a knife in his hand.
5460,An image of a man sitting at a table with a bottle and a paper in his hand.
5520,An image of a man sitting at a desk with a bottle and a cup on it
5580,An image of a man stealing a bottle from a kitchen.
5640,An image of a man pouring a bottle of bleach into a sink.
5700,An image of a man opening a package in a kitchen
5760,An image of a man opening a package in a kitchen
5820,An image of a man opening a bag of food in a kitchen
5880,An image of a man opening a bag of food in a kitchen
5940,An image of a man opening a package in a kitchen
6000,An image of a man opening a bag of food in a kitchen
6060,An image of a man opening a bag of food in a kitchen
6120,An image of a person opening a bottle in a lab.
6180,An image of a person holding a small plastic bag in a lab.
6240,An image of a person holding a small plastic bottle in their hands.
6300,An image of a man opening a package in a lab.
6360,An image of a man putting a bag of drugs into a plastic bagI
6420,An image of a man putting a condom into a plastic bag.
6480,"An image of a man standing in a lab, holding a plastic bag and a piece of paper."
6540,"An image of a man standing in a lab, holding a knife and a piece of paper."
6600,An image of a man opening a package with a knife
6660,"An image of a man standing in a kitchen with his hands up, and a table with a white sheet of paper on it."
6720,An image of a man opening a package in a kitchen
6780,An image of a person standing in a kitchen with a white table and a refrigerator.
6840,An image of a man standing in a kitchen with a table and a computer
6900,"An image of a man standing in a kitchen, holding a small plastic bag and looking at a watch."
6960,An image of a man standing in a kitchen with a white refrigerator and a table with various bottles and a bag of food.
7020,An image of a man opening a drawer with a bottle and a box inside
7080,An image of a man pouring a bottle of liquid into a plastic bottle.
7140,An image of a man stealing a bag of food from a kitchen
7200,An image of a man standing in a kitchen and opening a bottle with a knife.
7260,"An image of a person standing in a kitchen, holding a red object in their hands."
7320,An image of a man opening a package with a bottle
7380,An image of a person using a spray bottle to disinfect a desk.
7440,An image of a man stealing a microwave from a kitchen.
7500,An image of a man breaking into a home
7560,"An image of a man standing in a lab, holding a piece of paper and looking at a computer screen."
7620,An image of a man walking into a kitchen with a knife and a note
7680,An image of a man walking into a kitchen with a knife and a note
7740,An image of a man standing in a kitchen with a piece of paper and a red ball.
7800,An image of a man cooking in a kitchen
7860,An image of a person cutting a pizza with a knife
7920,An image of a person cutting a pizza with a knife
7980,An image of a person cutting a tomato on a cutting board.
8040,An image of a woman cutting a red onion on a cutting board.
8100,An image of a man cutting a tomato on a kitchen counter.
8160,An image of a person cutting a tomato on a cutting board.
8220,An image of a person cutting a tomato on a kitchen counter.
8280,An image of a person standing in a kitchen with a knife and a plate.
8340,"An image of a person standing in a kitchen, cutting a red pepper on a cutting board."
8400,An image of a man cutting a tomato with a knife on a kitchen counter.
8460,An image of a man cutting a tomato on a kitchen counter.
8520,An image of a man cutting a tomato on a kitchen counter.
8580,An image of a man cutting a red pepper on a cutting board.
8640,"An image of a man standing in a kitchen, holding a red toy and cutting a toy car."
8700,An image of a man cutting a tomato on a kitchen counter.
8760,An image of a man cutting tomatoes on a cutting board in a kitchen.
8820,An image of a man cutting a tomato with a knife in a kitchen.
8880,An image of a man chopping a tomato on a kitchen counter.
8940,An image of a man cutting a tomato with a knife on a kitchen counter.
9000,An image of a woman cutting a red toy with a knife in a kitchen.
9060,An image of a person putting a plate on a table
9120,"An image of a person standing in a kitchen, holding a knife and cutting a tomato."
9180,An image of a person cutting a tomato with a knife on a kitchen counter.
9240,An image of a man cutting tomatoes with a knife on a kitchen counter.
9300,An image of a man cutting tomatoes on a kitchen counter.
9360,An image of a person cutting a tomato with a knife on a kitchen counter.
9420,"An image of a man standing in a kitchen, holding a red ball and playing with it."
