frame,caption
0,An image of a person moving a chessboard on a table.
60,An image of a person standing in a kitchen with a chessboard on the table
120,An image of a woman using a vacuum cleaner to clean a chair.
180,An image of a man walking into a kitchen with a suitcase
240,An image of a woman walking into a kitchen with a plate and a knife
300,"An image of a desk with a computer monitor, keyboard, mouse, and other peripherals."
360,An image of a kitchen floor and a garbage can
420,An image of a white refrigerator and a TV with wires hanging out of it
480,An image of a white cabinet with a sheet of paper taped to it and a green bottle on the right side.
540,An image of a washing machine with a note taped to it and a bottle of bleach
600,An image of a refrigerator and a washing machine connected to a computer
660,An image of a man opening a freezer door with his hands.
720,An image of a refrigerator being opened by a person.
780,An image of a woman opening a refrigerator with a knife.
840,An image of a person reaching for a knife in a sink.
900,An image of a sink and a refrigerator with a knife and other items on the counter
960,An image of a sink and a knife on a counter
1020,An image of a young man standing in a room with computers and a chair.
1080,An image of a kitchen counter and sink with a knife and a fork on the counter
1140,An image of a blurry office
1200,An image of a refrigerator with a crack running down the side
1260,An image of a washing machine and dryer with a note attached to the door
1320,An image of the new bathroom being built
1380,An image of a paper being printed on a printer
1440,An image of a white cabinet with a sheet of paper taped to it and a power cord hanging down from the ceiling
1500,An image of a white cabinet with a power cord and a green bottle hanging from the ceiling
1560,An image of a white cabinet with a green bottle and a black cord hanging from the ceiling and a power outlet on the right side of the cabinet.
1620,An image of a white cabinet with a sign on it and wires coming out of it
1680,An image of a sheet of paper taped to a cabinet door
1740,An image of a paper and a green bottle on a shelf
1800,An image of a white cabinet with a sign on it and wires coming out of it
1860,An image of a white cabinet with a power cord and a green bottle plugged into a wall outlet
1920,An image of a white box and a power outlet with wires coming out of it
1980,An image of a white cabinet with a power cord and a green bottle plugged into a wall outlet
2040,An image of a white cabinet with a power cord and a green bottle plugged into it
2100,An image of a white cabinet with a power cord and a green bottle plugged into a wall outlet
2160,An image of a white cabinet and a power outlet with wires hanging down from it
2220,"An image of a white cabinet with a power cord and a green power outlet plugged into it, and an electrical outlet on the wall behind it."
2280,An image of a white cabinet and a power outlet with a black cord hanging down from the ceiling
2340,"An image of a white cabinet with a power cord and a plug hanging off of it, and an electrical outlet on the wall."
2400,"An image of a white desk with a power strip and a green bottle on it, and wires coming out of the wall."
2460,An image of the spice bottles and electrical outlets
2520,An image of the spice rack and the various spices
2580,An image of a person plugging in a power strip to a wall outlet.
2640,An image of a person opening a cupboard door to find a magnetic spice rack
2700,An image of a person plugging in a power cord to a wall outlet.
2760,An image of a person plugging in a power strip to a TV
2820,An image of a person reaching for a bottle in a row of bottles
2880,An image of the alcohol and other items found in the home of a man who was arrested for allegedly trying to smuggle drugs into Australia.
2940,An image of a man opening a packet of pills in a kitchen.
3000,An image of a person opening a box of pills on a counter.
3060,An image of a white cupboard with a variety of spices plugged into a power strip
3120,An image of a person opening a bottle of alcohol in a kitchen
3180,An image of a person walking through a bathroom with a toilet and sink in the background
3240,An image of a white cabinet and a black bag
3300,An image of a person opening a cabinet with a screwdriver.
3360,An image of a white kitchen cabinet and drawer with a hidden door
3420,An image of a cable and a power cord being stored in a drawer
3480,An image of a kitchen sink and a refrigerator
3540,"An image of a kitchen counter with a sink, a toaster, and a microwave"
3600,An image of a hand holding a white plastic toy airplane
3660,An image of the kitchen counter with bottles and spices
3720,An image of a white cutting board and a microwave on a table
3780,An image of a knife and other kitchen utensils on a counter
3840,An image of a white washing machine and a sink in a bathroom
3900,An image of the kitchen counter with a knife and a bottle of cooking oil
3960,An image of a white cabinet and a drawer in a hospital
4020,An image of a sink and various kitchen utensils
4080,An image of a kitchen sink and counter with various utensils
4140,An image of a sink and a counter with various kitchen items
4200,An image of a person cleaning a kitchen sink with a spray bottle.
4260,An image of a person washing their hands under a running faucet.
4320,An image of a sink and a person cleaning the sink
4380,"An image of a kitchen counter with a spoon, a bottle, and a sponge"
4440,An image of a person washing their hands in a sink.
4500,An image of a person turning off a kitchen faucet.
4560,An image of a person cleaning a sink with a sponge and a bottle of dish soap.
4620,An image of a man holding a knife in a kitchen
4680,An image of the sink and counter in the bathroom
4740,An image of a person connecting a wire to a light switch.
4800,An image of a person connecting a water filter to a wall.
4860,An image of a person removing a toilet paper roll from a dispenser.
4920,An image of a sink being cleaned
4980,An image of a person cleaning a garbage disposal.
5040,An image of a person cleaning a trash can with a rag and a bottle of cleaner.
5100,An image of a white refrigerator and a sink in a kitchen
5160,An image of a person opening a freezer door with a knife.
5220,"An image of a broken refrigerator and a note that says ""I'm sorry"""
5280,An image of a man reaching into a refrigerator to grab a bottle of beer.
5340,An image of a man opening a refrigerator
5400,An image of a person reaching into a refrigerator to grab a cheese.
5460,An image of a person putting tomatoes into a bag.
5520,An image of an open refrigerator with food and drinks inside
5580,An image of the spices and a knife on a table
5640,An image of a person opening a bag of spices.
5700,"An image of a white table and a chair, with a variety of bottles scattered across the table."
5760,An image of a kitchen counter with a white paper and a few bottles of spices
5820,An image of a white refrigerator and a table with a paper and a pen
5880,An image of a white table and a fridge with a sign saying 'no condiments'
5940,An image of a knife and a cutting board on a counter with a white cutting board in front of it
6000,An image of a kitchen counter with a knife and a bag of spices
6060,An image of a person preparing a meal with a knife and a cutting board.
6120,An image of a hand touching a piece of paper on a white table.
6180,An image of a hand touching a white surface
6240,An image of a hand and a piece of paper on a white table
6300,An image of a hand and a piece of paper
6360,An image of a hand holding a piece of paper over a white refrigerator.
6420,An image of a person holding their hand over a paper and a bottle of water
6480,An image of a person opening a bottle with a plastic bag
6540,"An image of a hand and a knife, with bottles and spices in the background"
6600,An image of a person holding a vial of blood
6660,An image of a person holding their hand up to a variety of spices.
6720,"An image of a hand holding a small toy car, with a knife and a variety of bottles and jars on the counter"
6780,An image of a kitchen counter with a knife and a bag of spices
6840,"An image of a person holding a bottle in their hand, with other bottles and a knife on the table"
6900,"An image of a person holding their hand out to the camera, with a variety of bottles in the background."
6960,An image of a knife on a counter and a bottle of pepper spray
7020,An image of a refrigerator door with a note taped to it
7080,An image of a person opening a bag of spices.
7140,An image of the spices and oils on the counter
7200,An image of the spice rack and the magnetic spice jars
7260,An image of the spice rack and bottles
7320,An image of the spice rack and the note
7380,An image of a person opening a refrigerator door with a paper and a bottle of spray paint on the counter.
7440,An image of the inside of a refrigerator
7500,An image of a person opening a refrigerator door
7560,An image of a silver ring being held up by a finger
7620,An image of a person washing their hands in a sink.
7680,An image of a hand throwing a paper plate into a trash can.
7740,An image of a white plate being held up in front of an oven
7800,An image of tomatoes and a knife on a cutting board
7860,An image of a knife and a plate on a table with tomatoes and spices
7920,An image of a knife being used to cut tomatoes on a cutting board.
7980,An image of tomatoes and spices on a table
8040,An image of a man cutting a tomato on a cutting board with a knife.
8100,An image of a man cutting a tomato on a cutting board.
8160,An image of a man cutting a tomato on a cutting board.
8220,An image of a person cutting tomatoes on a cutting board.
8280,An image of a man cutting tomatoes on a cutting board.
8340,An image of a person cutting tomatoes on a cutting board.
8400,An image of a person cutting tomatoes on a cutting board.
8460,An image of a person cutting a tomato on a white cutting board.
8520,An image of a person cutting tomatoes on a white cutting board.
8580,An image of a person slicing tomatoes on a cutting board.
8640,An image of a person slicing tomatoes on a cutting board.
8700,An image of a man cutting tomatoes on a cutting board.
8760,An image of a man cutting a tomato on a cutting board.
8820,An image of a man cutting tomatoes on a cutting board.
8880,An image of a man cutting a tomato on a cutting board.
8940,An image of a man cutting a tomato on a cutting board.
9000,An image of a man cutting a tomato on a cutting board.
9060,An image of a hand holding a tomato over a cutting board.
9120,An image of a person cutting tomatoes on a cutting board.
9180,An image of a person cutting a tomato with a knife on a cutting board.
9240,An image of a person cutting tomatoes on a cutting board.
9300,An image of a person cutting a tomato on a cutting board.
9360,An image of a person cutting tomatoes on a cutting board.
9420,An image of a person cutting tomatoes on a cutting board.
9480,An image of a man cutting tomatoes on a cutting board.
9540,An image of a person cutting tomatoes on a cutting board.
9600,An image of a man cutting tomatoes on a cutting board.
9660,An image of a person cutting tomatoes on a cutting board.
9720,An image of a man cutting tomatoes on a cutting board.
9780,An image of a man cutting tomatoes on a cutting board.
9840,An image of a man cutting tomatoes on a cutting board.
9900,An image of a person peeling tomatoes on a cutting board.
9960,An image of a person cutting tomatoes on a cutting board.
10020,An image of a man cutting tomatoes on a cutting board.
10080,An image of a man cutting tomatoes on a cutting board.
10140,An image of a man cutting tomatoes on a cutting board.
10200,An image of a person cutting tomatoes on a cutting board.
10260,An image of a man cutting a tomato on a cutting board.
10320,An image of a chef cutting a tomato on a cutting board.
10380,An image of a person cutting a tomato on a cutting board.
10440,An image of a person cutting a tomato on a cutting board.
10500,An image of a person cutting tomatoes on a cutting board.
10560,An image of a person cutting a tomato on a cutting board.
10620,An image of a person cutting a tomato on a cutting board.
10680,An image of a man cutting a tomato on a white cutting board.
10740,An image of a person cutting a tomato on a white cutting board.
10800,An image of a man cutting a tomato on a cutting board.
10860,An image of a man cutting a tomato on a cutting board.
10920,An image of a man cutting a tomato on a cutting board.
10980,An image of a man cutting a tomato on a white cutting board.
11040,An image of a man cutting a tomato on a cutting board.
11100,An image of a man peeling a tomato on a cutting board.
11160,An image of a man cutting a tomato on a cutting board.
11220,An image of a man cutting a tomato on a cutting board.
11280,An image of a man cutting a tomato on a white cutting board.
11340,An image of a man cutting a tomato on a cutting board.
11400,An image of a man cutting a tomato on a cutting board.
11460,An image of a person cutting a tomato on a cutting board.
11520,An image of a man cutting a tomato on a cutting board.
11580,An image of a person cutting a tomato on a cutting board.
11640,An image of a person cutting a tomato on a cutting board.
11700,An image of a person cutting a tomato on a cutting board with a knife.
11760,An image of a person cutting a tomato on a cutting board.
11820,An image of a man cutting a tomato on a white cutting board.
11880,An image of a person cutting a tomato on a cutting board.
11940,An image of a man cutting a tomato on a cutting board.
12000,An image of a man cutting a tomato on a white cutting board.
12060,An image of a man chopping a tomato on a cutting board.
12120,An image of a person cutting a tomato on a cutting board with a knife.
12180,An image of a man cutting a tomato on a cutting board with a knife.
12240,An image of a tomato and a ham being chopped on a cutting board.
12300,An image of a man chopping a tomato on a cutting board.
12360,An image of a man peeling a tomato on a cutting board.
12420,An image of a person cutting a red pepper on a cutting board with a knife and a variety of spices
12480,An image of a knife slicing a red bell pepper on a cutting board.
12540,An image of a knife cutting a red pepper on a cutting board
12600,An image of a person chopping red bell peppers on a white plate.
12660,An image of a knife cutting cherry tomatoes on a white plate.
12720,An image of a tomato and a knife on a table with various spices and oils
12780,An image of a chef cutting a tomato on a cutting board.
