frame,caption
0,An image of a man playing chess in a kitchen
60,An image of a man playing chess in a kitchen
120,An image of a woman throwing a plate into a dishwasher.
180,An image of a man standing in a kitchen with a chair and a laptop
240,An image of a man walking into a kitchen with a knife in his hand.
300,An image of a kitchen and a dining table taken from a security camera
360,"An image of a kitchen with a white refrigerator, white oven, and white sink"
420,An image of a man walking into a kitchen with a gun
480,An image of a man being arrested by police in a kitchen
540,An image of a man being arrested by police in a kitchen
600,An image of a man standing in a kitchen with headphones on.
660,An image of a man standing in a kitchen with a knife in his hand.
720,An image of a man standing in a kitchen with a knife in his hand and another man lying on the floor
780,An image of a man and a boy in a kitchen
840,An image of a man and a woman in a kitchen
900,An image of a man being followed by a woman in a kitchen
960,An image of a man walking through a kitchen with his face blurred out
1020,An image of a man walking into a kitchen with a knife
1080,An image of a man standing in a kitchen with his face blurred out.
1140,An image of a man standing in a kitchen with his face blurred out.
1200,An image of a man standing in a kitchen with a knife in his hand
1260,An image of a man standing in a kitchen with a washing machine and a sink in the background.
1320,An image of a man standing in a kitchen with a knife in his hand.
1380,An image of a man standing in a kitchen with a knife in his hand
1440,An image of a man standing in a kitchen with a knife in his hand
1500,An image of a man standing in a kitchen with a knife in his hand
1560,An image of a man standing in a kitchen with a knife in his hand
1620,An image of a man standing in a kitchen with a knife in his hand
1680,An image of a man standing in a kitchen with a knife in his hand
1740,An image of a man standing in a kitchen with a knife in his hand.
1800,An image of a man standing in a kitchen with a knife in his hand
1860,An image of a man standing in a kitchen with a knife in his hand
1920,An image of a man standing in a kitchen with his face blurred out
1980,An image of a man standing in a kitchen with a knife in his hand
2040,An image of a man standing in a kitchen with a knife in his hand
2100,An image of a man standing in a kitchen with a knife in his hand
2160,An image of a man standing in a kitchen with a knife in his hand
2220,An image of a man standing in a kitchen with a knife in his hand
2280,An image of a man standing in a kitchen with a knife in his hand
2340,An image of a man standing in a kitchen with a knife in his hand
2400,An image of a man standing in a kitchen with a knife in his hand
2460,An image of a man walking into a kitchen with a knife
2520,An image of a man standing in a kitchen with a knife in his hand.
2580,An image of a man standing in a kitchen with a knife in his hand.
2640,An image of a man standing in a kitchen with a knife in his hand.
2700,An image of a man stealing a washing machine from a home in Sydney's west.
2760,An image of a man standing in a kitchen with a knife in his hand.
2820,An image of a man standing in a kitchen with a knife in his hand.
2880,An image of a man standing in a kitchen with his face blurred out.
2940,An image of a man standing in a kitchen with a knife in his hand.
3000,An image of a man in a kitchen
3060,An image of a man standing in a kitchen with a knife in his hand.
3120,An image of a man standing in a kitchen with a washing machine and a sink
